Provider_ID,Hospital_Name,Address,City,State,ZIP_Code,County_Name,Phone_Number,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_Name,Provider_Number,State,Measure_Name,Number_of_Discharges,Footnote,Excess_Readmission_Ratio,Predicted_Readmission_Rate,Expected_Readmission_Rate,Number_of_Readmissions,Start_Date,End_Date
10097,"ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE",WETUMPKA,AL,36092,ELMORE,3345674311,"Acute Care Hospitals","Government - State",Yes,"ELMORE COMMUNITY HOSPITAL",10097,AL,READM-30-AMI-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
10108,"PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR",PRATTVILLE,AL,36067,AUTAUGA,3343614267,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"PRATTVILLE BAPTIST HOSPITAL",10108,AL,READM-30-PN-HRRP,208,NULL,1.0762,17.1,15.9,40,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10126,"TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH",TROY,AL,36081,PIKE,3346705000,"Acute Care Hospitals","Government - Federal",Yes,"TROY REGIONAL MEDICAL CENTER",10126,AL,READM-30-AMI-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
10149,"BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD",MONTGOMERY,AL,36117,MONTGOMERY,3342448330,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"BAPTIST MEDICAL CENTER EAST",10149,AL,READM-30-HF-HRRP,353,NULL,1.0596,22.3,21,82,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10157,"SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS",AL,35661,COLBERT,2563861601,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"SHOALS HOSPITAL",10157,AL,READM-30-PN-HRRP,159,NULL,1.026,17.9,17.4,30,"2010-07-01 00:00:00","2013-06-30 00:00:00"
20026,"ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR",ANCHORAGE,AK,99508,ANCHORAGE,9075632662,"Acute Care Hospitals","Government - Federal",Yes,"ALASKA NATIVE MEDICAL CENTER",20026,AK,READM-30-COPD-HRRP,125,NULL,0.9679,17.9,18.4,20,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH",BOAZ,AL,35957,MARSHALL,2565938310,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"MARSHALL MEDICAL CENTER SOUTH",10005,AL,READM-30-AMI-HRRP,"Not Available",NULL,0.9519,19,19.9,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
10019,"HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE",SHEFFIELD,AL,35660,COLBERT,2563864556,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HELEN KELLER MEMORIAL HOSPITAL",10019,AL,READM-30-HF-HRRP,337,NULL,0.9868,21.3,21.6,71,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10019,"HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE",SHEFFIELD,AL,35660,COLBERT,2563864556,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HELEN KELLER MEMORIAL HOSPITAL",10019,AL,READM-30-HIP-KNEE-HRRP,311,NULL,0.8929,4.5,5,12,"2010-07-01 00:00:00","2013-06-30 00:00:00"
10019,"HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE",SHEFFIELD,AL,35660,COLBERT,2563864556,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HELEN KELLER MEMORIAL HOSPITAL",10019,AL,READM-30-PN-HRRP,396,NULL,0.9588,15.3,15.9,58,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50167,"SAN JOAQUIN GENERAL HOSPITAL","500 W HOSPITAL ROAD","FRENCH CAMP",CA,95231,"SAN JOAQUIN",2094686000,"Acute Care Hospitals","Government - Local",Yes,"SAN JOAQUIN GENERAL HOSPITAL",50167,CA,READM-30-PN-HRRP,"Not Available",NULL,0.9745,17.1,17.5,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
50192,"ADVENTIST MEDICAL CENTER - REEDLEY","372 W CYPRESS AVE",REEDLEY,CA,93654,FRESNO,5596388155,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"ADVENTIST MEDICAL CENTER - REEDLEY",50192,CA,READM-30-HIP-KNEE-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50195,"WASHINGTON HOSPITAL","2000 MOWRY AVE",FREMONT,CA,94538,ALAMEDA,5107971111,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"WASHINGTON HOSPITAL",50195,CA,READM-30-HF-HRRP,518,NULL,1.1418,26.8,23.5,147,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50195,"WASHINGTON HOSPITAL","2000 MOWRY AVE",FREMONT,CA,94538,ALAMEDA,5107971111,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"WASHINGTON HOSPITAL",50195,CA,READM-30-HIP-KNEE-HRRP,1918,NULL,0.7504,3.5,4.7,62,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50248,"NATIVIDAD MEDICAL CENTER","1441 CONSTITUTION BOULEVARD",SALINAS,CA,93906,MONTEREY,8317554195,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"NATIVIDAD MEDICAL CENTER",50248,CA,READM-30-COPD-HRRP,63,NULL,1.0689,20.7,19.4,18,"2010-07-01 00:00:00","2013-06-30 00:00:00"
30012,"YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD",PRESCOTT,AZ,86301,YAVAPAI,9287715676,"Acute Care Hospitals","Government - Local",Yes,"YAVAPAI REGIONAL MEDICAL CENTER",30012,AZ,READM-30-HIP-KNEE-HRRP,527,NULL,0.7998,4,5,17,"2010-07-01 00:00:00","2013-06-30 00:00:00"
30055,"KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD",KINGMAN,AZ,86409,MOHAVE,9287572101,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"KINGMAN REGIONAL MEDICAL CENTER",30055,AZ,READM-30-COPD-HRRP,591,NULL,0.9232,17.7,19.2,99,"2010-07-01 00:00:00","2013-06-30 00:00:00"
30055,"KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD",KINGMAN,AZ,86409,MOHAVE,9287572101,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"KINGMAN REGIONAL MEDICAL CENTER",30055,AZ,READM-30-HIP-KNEE-HRRP,"Not Available",NULL,0.9819,5.6,5.7,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
30068,"MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE",SAFFORD,AZ,85546,GRAHAM,9283484000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"MT GRAHAM REGIONAL MEDICAL CENTER",30068,AZ,READM-30-HF-HRRP,48,NULL,1.0265,19.8,19.3,11,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50360,"MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 8010",GREENBRAE,CA,94904,MARIN,4159257900,"Acute Care Hospitals","Government - Local",Yes,"MARIN GENERAL HOSPITAL",50360,CA,READM-30-HIP-KNEE-HRRP,368,NULL,1.0471,5.5,5.2,21,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50373,"LAC+USC MEDICAL CENTER","1200 N STATE ST, ROOM C2K100","LOS ANGELES",CA,90033,"LOS ANGELES",3232262800,"Acute Care Hospitals","Government - Local",Yes,"LAC+USC MEDICAL CENTER",50373,CA,READM-30-PN-HRRP,54,NULL,1.0605,17.4,16.4,13,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50397,"COALINGA REGIONAL MEDICAL CENTER","1191 PHELPS AVENUE",COALINGA,CA,93210,FRESNO,5599356400,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"COALINGA REGIONAL MEDICAL CENTER",50397,CA,READM-30-HF-HRRP,"Not Available",NULL,1.0392,20.1,19.4,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
50423,"PALO VERDE HOSPITAL","250 NORTH FIRST STREET",BLYTHE,CA,92225,RIVERSIDE,7609224115,"Acute Care Hospitals","Government - Federal",Yes,"PALO VERDE HOSPITAL",50423,CA,READM-30-HF-HRRP,"Not Available",NULL,0.9751,21.3,21.8,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
50113,"SAN MATEO MEDICAL CENTER","222 W 39TH AVE","SAN MATEO",CA,94403,"SAN MATEO",6505732222,"Acute Care Hospitals","Government - Local",Yes,"SAN MATEO MEDICAL CENTER",50113,CA,READM-30-HF-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50113,"SAN MATEO MEDICAL CENTER","222 W 39TH AVE","SAN MATEO",CA,94403,"SAN MATEO",6505732222,"Acute Care Hospitals","Government - Local",Yes,"SAN MATEO MEDICAL CENTER",50113,CA,READM-30-HIP-KNEE-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50128,"TRI-CITY MEDICAL CENTER","4002 VISTA WAY",OCEANSIDE,CA,92056,"SAN DIEGO",7607248411,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"TRI-CITY MEDICAL CENTER",50128,CA,READM-30-HIP-KNEE-HRRP,290,NULL,0.9851,5.3,5.3,15,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50308,"EL CAMINO HOSPITAL","2500 GRANT ROAD","MOUNTAIN VIEW",CA,94040,"SANTA CLARA",6509407000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"EL CAMINO HOSPITAL",50308,CA,READM-30-HF-HRRP,629,NULL,0.9044,19.4,21.4,116,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50348,"UNIVERSITY OF CALIFORNIA IRVINE MED CENTER","101 CITY DRIVE SOUTH",ORANGE,CA,92868,ORANGE,7144566112,"Acute Care Hospitals","Government - Local",Yes,"UNIVERSITY OF CALIFORNIA IRVINE MED CENTER",50348,CA,READM-30-AMI-HRRP,61,NULL,1.1106,21.3,19.2,19,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50348,"UNIVERSITY OF CALIFORNIA IRVINE MED CENTER","101 CITY DRIVE SOUTH",ORANGE,CA,92868,ORANGE,7144566112,"Acute Care Hospitals","Government - Local",Yes,"UNIVERSITY OF CALIFORNIA IRVINE MED CENTER",50348,CA,READM-30-HF-HRRP,162,NULL,0.9782,22.4,22.9,35,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50636,"POMERADO HOSPITAL","15615 POMERADO ROAD",POWAY,CA,92064,"SAN DIEGO",8584856511,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"POMERADO HOSPITAL",50636,CA,READM-30-HIP-KNEE-HRRP,"Not Available",NULL,0.9302,4.3,4.6,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
50684,"MENIFEE VALLEY MEDICAL CENTER","28400 MCCALL B0ULEVARD","SUN CITY",CA,92585,RIVERSIDE,9516798888,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"MENIFEE VALLEY MEDICAL CENTER",50684,CA,READM-30-COPD-HRRP,222,NULL,0.9604,19.8,20.6,41,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE","10800 MAGNOLIA AVENUE",RIVERSIDE,CA,92505,RIVERSIDE,9513532000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",50686,CA,READM-30-COPD-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50272,"REDLANDS COMMUNITY HOSPITAL","350 TERRACINA BLVD",REDLANDS,CA,92373,"SAN BERNARDINO",9093355500,"Acute Care Hospitals","Government - Federal",Yes,"REDLANDS COMMUNITY HOSPITAL",50272,CA,READM-30-PN-HRRP,289,NULL,1.0008,17.6,17.6,51,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50276,"CONTRA COSTA REGIONAL MEDICAL CENTER","2500 ALHAMBRA AVE",MARTINEZ,CA,94553,"CONTRA COSTA",9253705000,"Acute Care Hospitals","Government - Local",Yes,"CONTRA COSTA REGIONAL MEDICAL CENTER",50276,CA,READM-30-AMI-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50276,"CONTRA COSTA REGIONAL MEDICAL CENTER","2500 ALHAMBRA AVE",MARTINEZ,CA,94553,"CONTRA COSTA",9253705000,"Acute Care Hospitals","Government - Local",Yes,"CONTRA COSTA REGIONAL MEDICAL CENTER",50276,CA,READM-30-HF-HRRP,"Not Available",NULL,0.923,17.7,19.2,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
50279,"HI-DESERT MEDICAL CENTER","6601 WHITE FEATHER ROAD","JOSHUA TREE",CA,92252,"SAN BERNARDINO",7603663711,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HI-DESERT MEDICAL CENTER",50279,CA,READM-30-COPD-HRRP,156,NULL,0.9626,20.4,21.2,29,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50279,"HI-DESERT MEDICAL CENTER","6601 WHITE FEATHER ROAD","JOSHUA TREE",CA,92252,"SAN BERNARDINO",7603663711,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"HI-DESERT MEDICAL CENTER",50279,CA,READM-30-HIP-KNEE-HRRP,"Not Available",NULL,1.0131,6,5.9,"Too Few to Report","2010-07-01 00:00:00","2013-06-30 00:00:00"
50292,"RIVERSIDE COUNTY REGIONAL MEDICAL CENTER","26520 CACTUS AVENUE","MORENO VALLEY",CA,92555,RIVERSIDE,9514864000,"Acute Care Hospitals","Government - Local",Yes,"RIVERSIDE COUNTY REGIONAL MEDICAL CENTER",50292,CA,READM-30-PN-HRRP,109,NULL,1.024,17.9,17.5,21,"2010-07-01 00:00:00","2013-06-30 00:00:00"
50296,"HAZEL HAWKINS MEMORIAL HOSPITAL","911 SUNSET DRIVE",HOLLISTER,CA,95023,"SAN BENITO",8316375711,"Acute Care Hospitals","Government - Hospital District or Authority",No,"HAZEL HAWKINS MEMORIAL HOSPITAL",50296,CA,READM-30-AMI-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
60014,"PRESBYTERIAN ST LUKES MEDICAL CENTER","1719 E 19TH AVE",DENVER,CO,80218,DENVER,3038396000,"Acute Care Hospitals","Government - State",Yes,"PRESBYTERIAN ST LUKES MEDICAL CENTER",60014,CO,READM-30-COPD-HRRP,61,NULL,1.021,22,21.6,15,"2010-07-01 00:00:00","2013-06-30 00:00:00"
60014,"PRESBYTERIAN ST LUKES MEDICAL CENTER","1719 E 19TH AVE",DENVER,CO,80218,DENVER,3038396000,"Acute Care Hospitals","Government - State",Yes,"PRESBYTERIAN ST LUKES MEDICAL CENTER",60014,CO,READM-30-PN-HRRP,113,NULL,0.9506,16.9,17.7,16,"2010-07-01 00:00:00","2013-06-30 00:00:00"
60022,"UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","COLORADO SPRINGS",CO,80909,"EL PASO",7193655000,"Acute Care Hospitals","Government - Local",Yes,"UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL",60022,CO,READM-30-HF-HRRP,590,NULL,0.8015,17.4,21.7,90,"2010-07-01 00:00:00","2013-06-30 00:00:00"
60024,"UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT","12605 EAST 16TH AVENUE",AURORA,CO,80045,ADAMS,7208480000,"Acute Care Hospitals","Government - Hospital District or Authority",Yes,"UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT",60024,CO,READM-30-AMI-HRRP,131,NULL,1.0277,16.5,16,23,"2010-07-01 00:00:00","2013-06-30 00:00:00"
60071,"DELTA COUNTY MEMORIAL HOSPITAL","1501 E 3RD STREET",DELTA,CO,81416,DELTA,9708747681,"Acute Care Hospitals","Government - Local",Yes,"DELTA COUNTY MEMORIAL HOSPITAL",60071,CO,READM-30-AMI-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50545,"LANTERMAN DEVELOPMENTAL CENTER","3530 POMONA BOULEVARD",POMONA,CA,91768,"LOS ANGELES",9095951221,"Acute Care Hospitals","Government - State",No,"LANTERMAN DEVELOPMENTAL CENTER",50545,CA,READM-30-HF-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50545,"LANTERMAN DEVELOPMENTAL CENTER","3530 POMONA BOULEVARD",POMONA,CA,91768,"LOS ANGELES",9095951221,"Acute Care Hospitals","Government - State",No,"LANTERMAN DEVELOPMENTAL CENTER",50545,CA,READM-30-PN-HRRP,"Not Available",1,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50546,"PORTERVILLE DEVELOPMENTAL CENTER","26501 AVENUE 140",PORTERVILLE,CA,93257,TULARE,5597822222,"Acute Care Hospitals","Government - State",No,"PORTERVILLE DEVELOPMENTAL CENTER",50546,CA,READM-30-HIP-KNEE-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
50547,"SONOMA DEVELOPMENTAL CENTER","15000 ARNOLD DRIVE   /  P O BOX 1493",ELDRIDGE,CA,95431,SONOMA,7079386000,"Acute Care Hospitals","Government - Federal",No,"SONOMA DEVELOPMENTAL CENTER",50547,CA,READM-30-AMI-HRRP,"Not Available",5,"Not Available","Not Available","Not Available","Not Available","2010-07-01 00:00:00","2013-06-30 00:00:00"
