Provider_Number,FY_2014_Readmissions ,Number_of_Pneumonia_Cases,Excess_Readmission_Ratio_Pneumonia,No_of_Heart_Failure_Cases,Excess_Readmission_Ratio_Heart_Failure,No_Acute_Myocardial_Infarction_Cases,Acute_Myocardial_Infarction
040020,1.0000,577,0.907657,684,0.897201,403,0.997060
040022,0.9969,468,1.034691,633,1.040850,318,1.021639
040026,1.0000,834,0.913822,670,0.974319,249,0.905579
040027,0.9815,804,1.214497,564,1.068246,374,1.189946
040029,0.9989,457,1.031509,222,0.903710,194,0.937625
040036,0.9941,521,1.075655,632,1.128592,333,0.989395
040039,0.9868,398,1.028397,254,1.164676,166,1.123553
040041,0.9977,334,0.890459,259,1.041163,73,1.057083
040042,0.9964,188,1.090913,217,0.993301,19,0.000000
040047,0.9800,262,1.092299,104,1.108122,6,0.000000
040050,1.0000,106,0.945334,138,0.987804,6,0.000000
040051,0.9962,272,1.038224,127,0.955852,8,0.000000
040055,0.9938,608,0.882864,604,1.068815,398,1.133490
040062,1.0000,513,0.848702,547,0.975456,322,0.858223
040067,0.9905,106,0.944282,175,1.151958,4,0.000000
040069,0.9830,121,1.198291,62,1.048178,8,0.000000
040071,0.9979,254,1.027050,239,1.092313,148,0.968911
040072,0.9946,89,0.968149,133,1.109957,18,0.000000
040074,0.9949,179,1.018983,105,1.076173,14,0.000000
040076,0.9862,362,1.080210,113,1.115665,8,0.000000
040078,0.9949,305,1.032652,278,1.098688,85,1.084002
040080,0.9873,197,1.119605,156,1.102388,6,0.000000
040084,0.9960,320,1.067479,252,1.038868,117,0.974741
040085,0.9912,107,1.022268,207,1.103023,5,0.000000
040088,0.9962,259,0.930320,348,1.111063,131,0.958505
040091,0.9800,207,1.156519,182,1.271227,14,0.000000
040114,0.9990,727,1.066618,1130,0.937598,594,0.997940
040118,0.9965,453,0.895539,397,1.099535,174,0.998630
040119,0.9928,637,1.077160,550,1.046890,260,1.062253
040134,0.9990,123,0.981033,811,1.004582,644,1.014112
040137,0.9983,149,0.927802,170,1.036302,11,0.000000
040147,1.0000,0,0.000000,0,0.000000,0,0.000000
040152,1.0000,3,0.000000,2,0.000000,0,0.000000
050002,0.9942,123,1.038070,251,1.101664,104,1.078790
050006,1.0000,203,0.840194,223,0.855932,176,0.849473
050007,0.9994,380,1.026689,435,0.969238,156,0.949510
050008,0.9999,55,0.983387,53,1.004454,5,0.000000
050009,1.0000,317,0.905178,457,0.912265,167,0.956088
050013,0.9999,140,1.005730,210,0.861219,97,0.911507
050014,1.0000,172,0.878260,136,0.924657,12,0.000000
050016,0.9989,137,0.936770,164,1.038234,18,0.000000
050017,1.0000,237,0.989703,388,0.921515,584,0.991597
050018,0.9981,116,0.998702,199,1.037184,22,0.000000
050022,0.9949,329,1.044295,469,1.084820,383,1.044553
050024,0.9992,197,0.991970,307,1.012324,47,1.072381
050025,0.9973,288,1.133374,312,1.081996,228,0.986264
050026,0.9980,556,1.028670,761,1.035522,254,1.026773
050028,1.0000,154,0.924127,61,0.994345,7,0.000000
050030,0.9919,412,1.171180,425,1.029273,77,1.070841
050036,0.9968,282,0.987146,340,1.064387,188,1.068904
050038,0.9995,126,0.942571,167,1.030233,80,0.935741
050039,0.9968,659,1.068601,454,1.050044,435,1.017519
050040,0.9981,53,1.069466,61,1.006867,11,0.000000
050042,1.0000,221,0.901534,169,0.828368,34,0.995963
050043,0.9980,383,1.064203,548,0.973068,303,1.029491
050045,0.9938,280,1.111516,320,1.030181,85,1.065550
050046,1.0000,72,0.909929,26,0.916721,5,0.000000
050047,1.0000,341,0.952829,546,0.952227,205,0.965983
050054,0.9985,183,0.982754,101,1.038583,44,0.999581
050055,0.9980,118,1.060063,143,0.980120,14,0.000000
050056,0.9975,328,1.128898,397,0.991835,209,0.968839
050057,0.9982,868,0.896793,662,0.939318,385,1.054291
050058,0.9914,385,0.988981,630,1.104656,216,1.095624
050060,0.9951,428,1.114247,510,1.115181,453,1.039102
050063,0.9972,271,1.030076,424,1.028887,108,1.077430
050067,0.9971,61,1.026439,45,1.046316,8,0.000000
050069,1.0000,295,0.880845,477,0.950607,180,0.884363
050070,1.0000,10,0.000000,6,0.000000,1,0.000000
050071,0.9993,9,0.000000,28,1.080764,17,0.000000
050072,1.0000,6,0.000000,12,0.000000,5,0.000000
050073,0.9999,27,0.985453,29,1.013941,4,0.000000
050075,0.9998,19,0.000000,41,1.017014,9,0.000000
050076,1.0000,4,0.000000,7,0.000000,23,0.000000
050077,0.9989,582,1.002284,742,1.036164,265,0.907501
050078,0.9991,147,1.019871,129,0.939947,25,1.076683
050079,1.0000,197,0.895254,342,0.952788,150,0.959444
050082,0.9999,420,0.950369,479,0.936038,235,1.003175
050084,0.9983,614,0.944856,651,1.029892,304,1.032385
050089,0.9992,108,1.012699,88,1.023472,17,0.000000
050090,1.0000,87,0.904526,130,0.823160,22,0.000000
050091,0.9990,39,1.049562,120,0.973220,2,0.000000
050093,0.9983,1104,1.001132,1349,1.037316,526,1.012103
050096,1.0000,1,0.000000,1,0.000000,0,0.000000
050099,1.0000,448,0.815811,474,0.940204,229,0.986466
050100,0.9992,473,0.967488,497,0.941778,240,1.041692
050101,1.0000,98,0.919714,119,0.992409,28,0.981761
050102,0.9996,200,1.012962,137,0.981036,26,0.991837
050103,0.9990,236,0.948939,329,0.991660,120,1.055729
050104,0.9999,117,0.955706,316,0.895593,55,1.010445
050107,1.0000,230,0.910336,266,0.971332,162,0.904158
050108,1.0000,354,0.959801,518,0.948071,431,0.946450
050110,1.0000,169,0.928785,100,0.922648,16,0.000000
050111,1.0000,93,0.983199,136,0.997300,40,1.000066
050112,0.9942,402,1.161294,370,1.075345,135,1.031566
050113,1.0000,25,0.993790,17,0.000000,6,0.000000
050115,0.9999,276,0.941886,369,1.006181,221,0.911600
050116,1.0000,364,0.958622,565,0.984133,255,0.975764
050118,0.9907,223,1.026570,213,1.214287,25,1.071152
050121,0.9984,496,1.011037,502,1.030854,55,0.995959
050122,0.9990,159,0.941209,112,1.031338,56,1.030482
050124,1.0000,219,0.944098,197,0.943660,47,0.997003
050125,0.9989,441,0.959673,511,1.030198,219,0.960654
050126,0.9965,214,0.988905,461,1.096215,196,0.944041
050127,0.9994,105,1.018919,67,0.891245,24,0.000000
050128,1.0000,516,0.906520,475,0.917479,239,0.942614
050129,0.9980,253,0.913355,294,0.980248,312,1.044680
050131,1.0000,86,0.946127,123,0.893813,23,0.000000
050132,0.9888,368,1.209913,334,1.011623,44,1.112763
050133,0.9975,732,1.068299,595,0.951050,271,0.965300
050135,0.9999,90,0.963704,39,0.973633,25,1.033690
050136,0.9998,201,1.004235,140,0.923495,92,0.963794
050137,0.9975,14,0.000000,32,1.112942,5,0.000000
050138,1.0000,13,0.000000,18,0.000000,34,0.972388
050139,1.0000,11,0.000000,18,0.000000,6,0.000000
050140,1.0000,35,0.975746,37,0.934070,6,0.000000
050145,1.0000,514,0.937746,452,0.807535,194,0.905600
050149,0.9958,80,1.053587,205,1.094641,15,0.000000
050150,0.9925,390,1.135771,300,1.055146,87,0.978999
050152,0.9958,226,1.120363,158,0.977501,16,0.000000
050153,0.9985,350,0.944526,515,0.960307,193,1.052109
050158,0.9979,58,0.988925,96,1.071842,32,0.973589
050159,1.0000,100,0.914960,74,0.952469,14,0.000000
050167,1.0000,64,0.990339,80,0.967355,15,0.000000
050168,1.0000,409,0.954249,687,0.937336,299,0.942670
050169,0.9999,285,0.930177,406,1.004246,373,0.985676
050174,1.0000,389,0.901877,536,0.795684,295,0.834179
050179,0.9928,415,1.117402,381,1.036422,137,1.090394
050180,1.0000,447,0.954758,578,0.789853,234,0.953588
050189,0.9993,51,0.971066,47,1.013386,1,0.000000
050191,0.9988,185,0.973901,201,1.010309,83,1.046678
050192,0.9988,95,1.011806,51,0.993313,4,0.000000
050194,0.9969,208,1.080710,231,0.979329,34,1.019375
050195,0.9928,503,1.144214,508,1.096796,235,1.021236
050196,0.9988,39,1.031753,39,0.912852,3,0.000000
050197,0.9997,262,0.949364,425,1.007659,108,0.882668
050204,0.9984,182,0.906880,276,1.044954,101,0.999482
050205,1.0000,148,0.942930,49,0.918893,26,0.979558
050211,0.9971,216,1.003165,216,1.042589,67,1.030289
050222,1.0000,374,0.870760,686,0.924127,196,0.914440
050224,0.9999,726,1.005486,608,0.943607,291,0.916798
050225,1.0000,305,0.885478,247,0.884332,94,0.943672
050226,0.9973,295,0.960312,376,0.950923,110,1.137743
050228,0.9975,133,0.958264,166,1.093975,60,1.052049
050230,0.9999,131,0.951945,103,1.006136,76,0.927758
050231,0.9975,189,1.039344,397,1.060934,118,0.855213
050232,0.9992,170,0.863932,239,1.027518,258,0.895453
050234,0.9999,46,1.004191,87,0.938648,9,0.000000
050235,0.9987,417,1.061800,853,0.934500,217,1.007610
050236,0.9946,197,0.858200,248,1.062944,91,1.141006
050238,1.0000,496,0.916000,682,0.887797,286,0.976129
050239,0.9944,564,1.036923,630,1.073892,342,1.057082
050242,1.0000,355,0.883271,432,0.820894,220,0.950108
050243,1.0000,264,0.933429,296,0.946880,226,0.947142
050245,0.9981,107,1.099707,137,1.019855,25,0.976567
050248,0.9988,102,0.986642,78,1.045060,14,0.000000
050254,0.9965,330,1.077234,278,1.003255,46,0.911516
050257,0.9991,55,0.959672,39,1.066602,0,0.000000
050261,0.9998,436,0.894999,313,0.985791,73,1.016318
050262,0.9981,233,1.010599,368,1.003942,186,1.155146
050272,0.9979,316,1.036383,163,0.998292,51,1.028250
050276,0.9983,75,1.068529,81,0.958207,4,0.000000
050277,0.9986,88,1.002103,70,1.100614,8,0.000000
050278,0.9973,434,0.986174,541,1.040088,136,1.077884
050279,0.9973,150,1.051775,112,0.969443,15,0.000000
050280,1.0000,573,0.816413,565,0.797426,403,0.836899
050281,0.9999,297,0.916514,140,1.002726,49,0.977014
050283,0.9981,348,0.961381,301,1.014021,145,1.047444
050289,0.9951,296,1.026854,515,1.007856,128,1.152751
050290,0.9979,573,0.964048,489,1.086289,217,0.873301
050291,1.0000,78,1.001412,171,0.863103,160,0.865409
050292,0.9973,112,1.071890,110,1.065620,29,0.980447
050295,0.9961,385,1.058296,162,1.109704,26,1.027810
050296,0.9936,154,1.045783,118,1.082641,17,0.000000
050298,0.9985,106,1.036070,169,0.914244,16,0.000000
050300,0.9939,296,1.057510,457,1.109340,284,1.039116
050301,0.9993,222,0.920146,216,1.017128,11,0.000000
050305,0.9990,211,1.048216,316,0.929976,70,1.036425
050308,1.0000,526,0.987015,651,0.879347,197,0.916988
050309,1.0000,468,0.954235,444,0.860641,230,0.801663
050313,0.9984,138,0.947493,133,1.057627,15,0.000000
050315,0.9995,15,0.000000,28,1.046043,5,0.000000
050320,0.9980,40,0.986754,69,1.119397,11,0.000000
050324,0.9981,303,1.119407,362,0.953375,240,0.881873
050327,0.9969,210,1.048947,506,1.113392,226,1.012987
050329,0.9969,222,1.060172,269,1.013614,45,1.074111
050334,1.0000,349,0.919788,583,0.964533,280,0.935618
050335,1.0000,368,0.899936,194,0.855393,66,0.977247
050336,0.9994,437,1.015024,377,0.967151,85,0.993655
050342,0.9967,318,1.000942,235,1.073332,42,1.060639
050348,0.9989,127,1.046267,168,0.949798,57,1.089226
050349,1.0000,10,0.000000,7,0.000000,1,0.000000
050350,0.9967,260,1.022346,397,0.977654,99,1.137036
050351,0.9975,485,1.054413,642,1.009317,288,1.037796
050352,1.0000,82,0.997132,61,0.932611,10,0.000000
050353,0.9941,429,1.042303,595,1.066891,261,1.107624
050357,1.0000,57,0.935668,57,0.961729,3,0.000000
050359,0.9972,240,0.966737,162,1.068540,36,1.053766
050360,1.0000,394,0.924666,346,0.985197,244,0.911833
050367,0.9914,251,1.102515,244,1.160252,102,1.032711
050373,0.9989,55,1.053422,65,1.044165,24,0.000000
050376,0.9999,37,1.004814,62,1.005500,41,0.975387
050378,0.9969,78,1.085984,89,1.032095,7,0.000000
050380,0.9993,373,0.895359,560,1.008785,263,1.015455
050382,0.9986,467,0.931838,600,1.048011,274,0.954726
050385,0.9971,104,1.072240,59,0.997239,7,0.000000
050390,0.9981,334,1.060022,397,0.957472,122,0.931556
050393,0.9992,227,0.948238,410,1.018088,127,0.988297
050394,1.0000,294,0.916091,388,0.921265,228,0.863688
050396,1.0000,406,0.863808,537,0.902107,203,0.914466
050397,0.9934,44,1.027279,40,1.039270,4,0.000000
050407,0.9949,184,1.017616,121,1.083607,18,0.000000
050411,0.9979,15,0.000000,33,1.102959,2,0.000000
050414,0.9983,131,1.034523,125,1.050343,24,0.000000
050417,1.0000,178,0.906371,126,0.949248,33,0.960867
050423,1.0000,69,0.979681,40,0.972980,11,0.000000
050424,1.0000,161,0.913799,329,0.863661,200,0.921500
050425,0.9998,19,0.000000,28,1.036577,18,0.000000
050426,0.9999,287,0.989657,252,1.002768,71,0.918299
050434,0.9941,72,1.063982,55,1.032105,5,0.000000
050435,0.9998,123,1.004496,68,0.989522,13,0.000000
050438,0.9981,572,0.992277,568,1.074079,253,1.022435
050441,0.9982,438,1.058556,480,1.077315,232,0.973322
050444,0.9941,603,1.107667,529,1.018207,124,0.886123
050448,0.9977,176,0.924833,127,1.053901,5,0.000000
050454,0.9998,407,0.995481,308,0.964709,138,1.026986
050455,0.9948,225,1.031702,371,1.130409,131,1.085128
050457,0.9997,284,0.955795,310,1.009682,127,0.995813
050464,0.9964,270,1.004081,389,1.065206,410,1.029689
050468,0.9959,92,1.013397,151,1.163935,22,0.000000
050471,0.9965,290,1.029668,644,1.028381,250,1.058726
050481,0.9998,394,0.994724,296,0.923225,178,1.007336
050485,0.9961,342,1.052984,577,0.972103,197,1.169385
050488,0.9987,269,1.021421,347,1.022750,86,1.038822
050492,0.9995,273,0.955574,149,0.870718,83,1.024795
050496,1.0000,249,0.965518,468,0.852671,196,0.962377
050498,1.0000,218,0.997453,165,0.984809,36,0.922770
050502,0.9993,403,0.910043,470,0.975103,101,1.064137
050503,1.0000,258,0.944940,358,0.883283,147,0.906449
050506,0.9993,155,1.025288,101,0.939680,34,1.018977
050510,1.0000,10,0.000000,14,0.000000,3,0.000000
050512,1.0000,12,0.000000,22,0.000000,5,0.000000
050515,1.0000,16,0.000000,13,0.000000,4,0.000000
050516,0.9960,424,1.089975,486,1.071655,222,1.053480
050517,0.9984,68,1.018798,79,1.034956,20,0.000000
050523,0.9953,230,1.105882,297,0.970769,122,1.102414
050526,0.9969,145,0.970216,150,1.076786,37,1.029822
050528,0.9989,114,1.010127,57,0.991254,7,0.000000
050531,1.0000,81,0.882367,31,0.970261,2,0.000000
050534,0.9987,194,0.897095,122,1.062893,60,0.976483
050537,1.0000,79,0.975958,68,0.920625,7,0.000000
050541,1.0000,3,0.000000,4,0.000000,1,0.000000
050543,1.0000,0,0.000000,0,0.000000,0,0.000000
050545,1.0000,8,0.000000,0,0.000000,0,0.000000
050546,0.9867,27,1.097537,1,0.000000,0,0.000000
050547,1.0000,12,0.000000,0,0.000000,0,0.000000
050548,1.0000,6,0.000000,0,0.000000,0,0.000000
050549,1.0000,506,0.909474,589,0.876754,422,0.999171
050551,0.9978,348,0.955221,337,1.020643,105,1.091063
050552,1.0000,31,0.992534,25,0.980573,1,0.000000
050557,0.9988,529,1.050556,519,0.954989,320,0.995961
050561,1.0000,7,0.000000,7,0.000000,5,0.000000
050567,1.0000,451,0.937525,581,0.919460,236,0.940540
050568,0.9987,181,0.960548,164,1.034174,69,0.908665
050570,0.9938,411,0.912838,524,1.148912,220,1.038880
050573,1.0000,940,0.841171,906,0.803638,513,0.930672
050575,0.9997,154,0.886774,152,1.004770,27,1.022289
050580,0.9990,131,0.953326,151,1.013299,55,1.039726
050581,0.9978,179,0.864532,287,0.983518,110,1.077720
050586,0.9995,41,1.000200,99,1.025770,28,1.013368
050588,1.0000,67,0.987769,83,0.991802,24,0.000000
050589,0.9992,145,1.021688,119,0.970448,27,0.956173
050590,0.9974,193,0.999648,198,1.119546,26,0.980573
050597,0.9995,148,1.004046,155,0.872812,31,1.046461
050599,0.9990,318,0.961530,497,0.987060,262,1.061635
050603,1.0000,466,0.925242,676,0.939737,254,0.999110
050604,0.9998,19,0.000000,24,0.000000,28,1.008980
050608,1.0000,110,0.925657,134,0.938630,10,0.000000
050609,1.0000,19,0.000000,32,0.951989,5,0.000000
050616,0.9989,241,0.878733,238,1.021687,49,1.025920
050618,0.9961,41,1.033265,10,0.000000,2,0.000000
050624,1.0000,316,0.942954,356,0.969341,123,0.883605
050625,1.0000,1137,0.980500,1784,0.922217,580,0.987338
050633,0.9988,350,1.030108,254,0.959269,47,0.998834
050636,1.0000,235,0.912711,327,0.875109,62,0.915236
050641,0.9971,83,1.067850,88,1.013690,24,0.000000
050644,0.9996,100,1.009661,55,0.980504,4,0.000000
050663,0.9962,146,1.080386,115,1.122924,32,1.009553
050668,0.9972,37,1.017919,1,0.000000,1,0.000000
050674,1.0000,21,0.000000,19,0.000000,8,0.000000
050677,1.0000,5,0.000000,5,0.000000,1,0.000000
050678,0.9996,179,0.976596,213,0.997746,68,1.026652
050684,0.9966,129,1.066853,150,1.030968,59,0.986885
050686,1.0000,9,0.000000,10,0.000000,4,0.000000
050688,0.9995,156,0.999679,170,0.902282,35,1.052637
050689,0.9961,236,1.069504,152,0.948929,51,1.053241
