Provider_Number,Hospital_Name,Address_1,Address_2,Address_3,City,State,ZIP_Code,County,Phone_Number,Hospital_Type,Hospital_Ownership,Emergency_Services,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",115,6893,24053,400461
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,"Yes",88,3160,11721,177742
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,,,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,Proprietary,"Yes",125,2969,10772,447178
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",882,47089,223236,4246966
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,"Yes",280,14151,70327,2039609
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",164,1024,3491,81668
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,"Yes",281,6039,37323,992920
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,"Yes",117,3291,10214,408245
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,,,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care Hospitals,Proprietary,"Yes",46,666,1839,21796
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,"Yes",235,10544,48513,1331897
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,,,CENTREVILLE,AL,35042,BIBB,2059264881,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",156,385,1605,28467
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,,,MOULTON,AL,35650,LAWRENCE,2569742200,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",43,685,2491,40052
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,,,SCOTTSBORO,AL,35768,JACKSON,2562594444,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",220,3498,14830,126378
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,,,GENEVA,AL,36340,GENEVA,3346843655,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",185,953,4122,33443
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",47,1076,4066,63191
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,,,ASHLAND,AL,36251,CLAY,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",129,1224,5443,30486
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,,,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",101,4447,15634,215728
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care Hospitals,Proprietary,"Yes",112,6410,26234,821456
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,,,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,Proprietary,"Yes",71,1358,4886,116704
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,,,JASPER,AL,35502,WALKER,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",175,5950,24064,414304
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,,,MOBILE,AL,36608,MOBILE,2516331000,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",349,15503,81906,831539
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,,,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care Hospitals,Government - Local,"Yes",30,1003,3444,44894
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,,,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,"Yes",28,448,1437,15960
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,,,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,"Yes",33,895,3661,33579
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,,,FAIRHOPE,AL,36532,BALDWIN,2519282375,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",129,8510,38172,473641
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,,,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",96,2502,8124,151756
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,,,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",50,2749,11313,196941
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,,,CARROLLTON,AL,35447,PICKENS,2053678111,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",50,494,1398,31971
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,,,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Acute Care Hospitals,Proprietary,"Yes",54,498,3184,42662
10120,MONROE COUNTY HOSPITAL,"""2016 SOUTH ALABAMA AVENUE"," BOX 886""",,,MONROEVILLE,AL,36460,MONROE,2515753111,Acute Care Hospitals,Government - Local,49,1251,4185,86778
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,,,HALEYVILLE,AL,35565,WINSTON,2054857117,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",59,1300,4617,58911
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,,TROY,AL,36081,PIKE,3346705000,Acute Care Hospitals,Government - Federal,"Yes",97,1559,5026,143507
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,,JACKSON,AL,36545,CLARKE,2512469021,Acute Care Hospitals,Proprietary,"Yes",35,625,2199,25568
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,,,BAY MINETTE,AL,36507,BALDWIN,2519375521,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",70,1770,6183,69344
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,,,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,"Yes",147,10300,40099,1506648
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,,,YORK,AL,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",33,620,2110,9408
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,,MOBILE,AL,36608,MOBILE,2513449630,Acute Care Hospitals,Proprietary,"Yes",184,10046,51469,539992
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,"Yes",44,1665,4858,31361
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",180,10058,51020,483733
1014,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,,,BIRMINGHAM                    ,AL,35233,JEFFERSON,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,"NO",0,0,0,0
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,,,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",184,1415,5661,155010
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,,,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care Hospitals,Proprietary,"Yes",92,1808,6434,113525
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",222,3432,14180,293352
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323000,Acute Care Hospitals,Government - State,"Yes",47,2242,7147,134297
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",49,1363,4739,85531
20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,,,ANCHORAGE,AK,99519,ANCHORAGE,9072613675,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",401,16383,99850,1871607
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,,,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",74,4273,15198,418561
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,,,JUNEAU,AK,99801,JUNEAU,9077968900,Acute Care Hospitals,Government - Local,"Yes",57,1643,6928,138184
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,,,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,Proprietary,"Yes",126,5090,23191,657464
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,,,SOLDOTNA,AK,99669,KENAI PENINSULA,9072624404,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",106,2478,9428,269213
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,,,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,Acute Care Hospitals,Government - Federal,"Yes",152,6768,35000,0
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,,,TUCSON,AZ,85712,PIMA,5203275461,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",529,28941,126566,1604187
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,,,COTTONWOOD,AZ,86326,YAVAPAI,9286396000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",110,4285,18249,537593
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,,,YUMA,AZ,85364,YUMA,9283367275,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",406,16030,75786,1346864
30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,,,PHOENIX,AZ,85008,MARICOPA,6023445011,Acute Care Hospitals,Government - Local,"Yes",494,15792,70570,1929540
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,,,FLAGSTAFF,AZ,86001,COCONINO,9287732009,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",267,13634,58410,999351
30033,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,,,PAYSON,AZ,85541,GILA,9284743222,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",39,1749,4786,320954
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,,,CHANDLER,AZ,85224,MARICOPA,4809634561,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",338,27259,97375,2456369
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,,,KINGMAN,AZ,86409,MOHAVE,9287572101,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",242,8636,43141,1075336
30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,,,SUN CITY,AZ,85351,MARICOPA,6239777211,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",501,15666,67389,1348751
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,,,SHOW LOW,AZ,85901,NAVAJO,9285374375,Acute Care Hospitals,Proprietary,"Yes",89,4157,14561,420062
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,,,MESA,AZ,85202,MARICOPA,4804123000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",639,38173,144203,2375316
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,,,LAKE HAVASU CITY,AZ,86403,MOHAVE,9288558185,Acute Care Hospitals,Proprietary,"Yes",181,6490,25027,843684
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,,,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Acute Care Hospitals,Government - Federal,"Yes",50,2508,11257,0
30078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,,,PHOENIX,AZ,85016,MARICOPA,6022631200,Acute Care Hospitals,Government - Federal,"Yes",115,2641,9714,0
30083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,,,PHOENIX,AZ,85032,MARICOPA,6029235000,Acute Care Hospitals,Proprietary,"Yes",301,9639,55487,490322
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"""US HWY 191"," HOSPITAL ROAD""",,,CHINLE,AZ,86503,APACHE,9286747001,Acute Care Hospitals,Government - Federal,60,1784,4787,0
30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,,,MESA,AZ,85206,MARICOPA,4803212000,Acute Care Hospitals,Voluntary non-profit - Private,"No",340,17837,79333,1371796
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,,,GLENDALE,AZ,85306,MARICOPA,6025885555,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",561,32184,124736,2050389
30094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,,,GLENDALE,AZ,85308,MARICOPA,6235611000,Acute Care Hospitals,Proprietary,"Yes",217,11307,46250,769855
30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,,,PHOENIX,AZ,85054,MARICOPA,4805156296,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",268,13196,63389,1828679
30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,,,MESA,AZ,85206,MARICOPA,4808545050,Acute Care Hospitals,Voluntary non-profit - Private,"No",111,5038,21568,671681
30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,,,MESA,AZ,85206,MARICOPA,4808324770,Acute Care Hospitals,Proprietary,"No",23,947,1815,81229
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,2905 WEST WARNER ROAD,,,CHANDLER,AZ,85225,MARICOPA,4806039000,Acute Care Hospitals,Proprietary,"No",24,704,1725,112283
30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,,,ORO VALLEY,AZ,85755,PIMA,5209013500,Acute Care Hospitals,Proprietary,"Yes",146,4964,16983,615855
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,,,PHOENIX,AZ,85037,MARICOPA,6233274000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",293,16684,62468,1371985
30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,,,FORT MOHAVE,AZ,86426,MOHAVE,9287882273,Acute Care Hospitals,Proprietary,"Yes",84,2846,10996,346823
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,,,GILBERT,AZ,85296,MARICOPA,4807288327,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",198,17943,54327,1374619
30120,GILBERT HOSPITAL,5656 SOUTH POWER ROAD,,,GILBERT,AZ,85295,MARICOPA,4802795835,Acute Care Hospitals,Proprietary,"Yes",19,499,1362,99052
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,,,GILBERT,AZ,85234,MARICOPA,4805432000,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",165,13107,51354,1196229
30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,,,SAN TAN VALLEY,AZ,85140,PINAL,4803944030,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",53,2689,7881,256544
40001,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,,,SILOAM SPRINGS,AR,72761,BENTON,4795244141,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",44,1862,5793,138644
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,,,CLARKSVILLE,AR,72830,JOHNSON,4797545454,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",80,1939,5890,64019
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,2710 RIFE MEDICAL LANE,,,ROGERS,AR,72758,BENTON,4793388000,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",188,11604,37799,735899
40011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,,,DANVILLE,AR,72833,YELL,4794952241,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",40,1638,4685,35162
40015,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,,,MENA,AR,71953,POLK,4793946100,Acute Care Hospitals,Government - Local,"Yes",65,1306,4548,70701
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,,,HARRISON,AR,72601,BOONE,8704144000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",134,3609,12072,228722
40018,SUMMIT MEDICAL CENTER,EAST MAIN AND SOUTH 20TH STREET,,,VAN BUREN,AR,72956,CRAWFORD,4794714300,Acute Care Hospitals,Proprietary,"Yes",15,234,486,170122
40019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,,,FORREST CITY,AR,72335,SAINT FRANCIS,8702610000,Acute Care Hospitals,Proprietary,"Yes",62,2213,7769,149766
40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,,,MOUNTAIN HOME,AR,72653,BAXTER,8705081000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",189,7935,30487,470063
40029,CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,,,CONWAY,AR,72034,FAULKNER,5013293831,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",154,7600,31048,349493
40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,,,PARAGOULD,AR,72450,GREENE,8702397000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",129,4285,15660,159881
40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,,,POCAHONTAS,AR,72455,RANDOLPH,8708926000,Acute Care Hospitals,Government - Local,"Yes",42,506,1388,31517
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,,,CAMDEN,AR,71701,OUACHITA,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",87,1806,6212,92778
40051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,,,MONTICELLO,AR,71655,DREW,8703672411,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",49,2337,7427,66331
40055,SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,,,FORT SMITH,AR,72901,SEBASTIAN,5014414000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",272,16214,75750,1415885
40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,,,BLYTHEVILLE,AR,72315,MISSISSIPPI,8708387300,Acute Care Hospitals,Voluntary non-profit - Other,"Yes",148,2178,7178,71930
40071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,,,PINE BLUFF,AR,71603,JEFFERSON,8705417100,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",333,8343,42532,724559
40074,NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,,,JACKSONVILLE,AR,72076,PULASKI,5019857000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",78,1108,3819,66845
40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,,,HOT SPRINGS,AR,71901,GARLAND,5013211000,Acute Care Hospitals,Proprietary,"No",163,5458,25416,844499
40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,,,BENTON,AR,72015,SALINE,5017766000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",142,5203,20511,246780
40085,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING DRIVE,,,HELENA,AR,72342,PHILLIPS,8703385800,Acute Care Hospitals,Proprietary,"Yes",145,1756,5029,116498
40118,NEA BAPTIST MEMORIAL HOSPITAL,3024 STADIUM BOULEVARD,,,JONESBORO,AR,72401,CRAIGHEAD,8709727000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",192,10431,42017,677228
40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,,,BATESVILLE,AR,72503,INDEPENDENCE,8702621200,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",187,7664,33055,552080
40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,,,LITTLE ROCK,AR,72211,PULASKI,5012197000,Acute Care Hospitals,Proprietary,"Yes",112,4619,18296,477858
40147,ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,,,NO LITTLE ROCK,AR,72118,PULASKI,5017488000,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",51,3186,6626,184993
40152,PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,,,FAYETTEVILLE,AR,72703,WASHINGTON,4795717002,Acute Care Hospitals,Physician,"Yes",20,1108,1787,95709
40153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN,,,HOPE,AR,71801,HEMPSTEAD,8707772323,Acute Care Hospitals,Proprietary,"Yes",79,888,3363,63557
41309,LAWRENCE MEMORIAL HOSPITAL,1309 WEST MAIN,,,WALNUT RIDGE,AR,72476,LAWRENCE,8708861200,Critical Access Hospitals,Government - Local,"Yes",152,6208,19639,568205
50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,,,NAPA,CA,94558,NAPA,7072524411,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",211,6131,28408,1122982
50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,,,JACKSON,CA,95642,AMADOR,2092237500,Acute Care Hospitals,Government - Local,"Yes",52,2455,8648,220005
50017,MERCY GENERAL HOSPITAL,4001 J ST,,,SACRAMENTO,CA,95819,SACRAMENTO,9164534545,Acute Care Hospitals,Voluntary non-profit - Church,"Yes",349,15608,69054,2581405
50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,,,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Acute Care Hospitals,Proprietary,"No",139,9260,32648,239050
50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,,,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,Acute Care Hospitals,Government - State,"Yes",373,21963,110418,3057690
50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,,,ARCATA,CA,95521,HUMBOLDT,7078223621,Acute Care Hospitals,Proprietary,"No",78,2126,9708,162954
50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,,,OROVILLE,CA,95966,BUTTE,5305338500,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",133,10958,40616,868744
50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888,,,BAKERSFIELD,CA,93301,KERN,6613271792,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",315,15223,66208,1534114
50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,,,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Acute Care Hospitals,Government - Local,"Yes",546,20269,105745,2944147
50039,ENLOE MEDICAL CENTER,1531 ESPLANADE,,,CHICO,CA,95926,BUTTE,5303327300,Acute Care Hospitals,Voluntary non-profit - Private,"Yes",298,15214,67217,1926170
50045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,,,EL CENTRO,CA,92243,IMPERIAL,7603397100,Acute Care Hospitals,Government - Local,"Yes",161,4925,23027,612819
50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,,,BANNING,CA,92220,RIVERSIDE,9517692101,Acute Care Hospitals,Government - Hospital District or Authority,"Yes",77,3818,16228,267747
